zip,lat,lon,CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
"0",64.2877,-149.449,,,,,,,,,,,,
"1",46.42226,-86.6373,,,,,,,,,,,,
"6",18.25945,-66.8423,,"10380","10380","Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",M1,"1",G3110,"1222527908","358908897","+18.3569648","-067.0078951"
"7",18.15641,-66.1095,"490","41980","41980","San Juan-BayamÃ³n-Caguas, PR","San Juan-BayamÃ³n-Caguas, PR Metro Area",M1,"1",G3110,"3724758254","1458189611","+18.2944526","-066.0368437"
"8",17.96499,-64.8014,,,,,,,,,,,,
"9",18.37116,-66.0981,"490","41980","41980","San Juan-BayamÃ³n-Caguas, PR","San Juan-BayamÃ³n-Caguas, PR Metro Area",M1,"1",G3110,"3724758254","1458189611","+18.2944526","-066.0368437"
"10",42.25798,-72.5985,,"44140","44140","Springfield, MA","Springfield, MA Metro Area",M1,"1",G3110,"4774474260","156661220","+42.3648332","-072.6194063"
"11",42.10006,-72.5465,,"44140","44140","Springfield, MA","Springfield, MA Metro Area",M1,"1",G3110,"4774474260","156661220","+42.3648332","-072.6194063"
"12",42.36966,-73.2071,,"38340","38340","Pittsfield, MA","Pittsfield, MA Metro Area",M1,"1",G3110,"2400600620","50708156","+42.3714930","-073.2179276"
"13",42.58619,-72.5215,,"44140","44140","Springfield, MA","Springfield, MA Metro Area",M1,"1",G3110,"4774474260","156661220","+42.3648332","-072.6194063"
"14",42.59213,-71.8165,"148","49340","49340","Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,"1",G3110,"5241033467","198933911","+42.2173112","-071.9255354"
"15",42.22982,-71.8555,"148","49340","49340","Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,"1",G3110,"5241033467","198933911","+42.2173112","-071.9255354"
"16",42.27881,-71.8452,"148","49340","49340","Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,"1",G3110,"5241033467","198933911","+42.2173112","-071.9255354"
"17",42.34211,-71.4545,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"18",42.64068,-71.216,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"19",42.65293,-70.8909,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"20",42.13932,-71.1501,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"21",42.31115,-71.0528,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"22",42.34727,-71.0699,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"23",41.96798,-70.8493,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"24",42.35954,-71.2322,"148","14460","14460","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,"1",G3110,"9029114828","2654672640","+42.5176060","-071.0219925"
"25",41.5392,-70.5266,"148","12700","12700","Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,"1",G3110,"1021019039","2360316945","+41.7990145","-070.2118803"
"26",41.7505,-70.1913,"148","12700","12700","Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,"1",G3110,"1021019039","2360316945","+41.7990145","-070.2118803"
"27",41.76888,-71.0763,"148","39300","39300","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area",M1,"1",G3110,"4110331756","1681129044","+41.7068313","-071.2866369"
"28",41.65908,-71.5645,"148","39300","39300","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area",M1,"1",G3110,"4110331756","1681129044","+41.7068313","-071.2866369"
"29",41.8254,-71.467,"148","39300","39300","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA Metro Area",M1,"1",G3110,"4110331756","1681129044","+41.7068313","-071.2866369"
"30",42.90441,-71.505,"148","31700","31700","Manchester-Nashua, NH","Manchester-Nashua, NH Metro Area",M1,"1",G3110,"2270197483","41314379","+42.9115317","-071.7230554"
"31",43.00073,-71.4692,"148","31700","31700","Manchester-Nashua, NH","Manchester-Nashua, NH Metro Area",M1,"1",G3110,"2270197483","41314379","+42.9115317","-071.7230554"
"32",43.57281,-71.6615,"148","29060","29060","Laconia, NH","Laconia, NH Micro Area",M2,"2",G3110,"1040771458","176549424","+43.5191091","-071.4253661"
"33",43.26194,-71.5635,"148","18180","18180","Concord, NH","Concord, NH Micro Area",M2,"2",G3110,"2416153059","57222878","+43.2995786","-071.6800412"
"34",42.90771,-72.1926,,"28300","28300","Keene, NH","Keene, NH Micro Area",M2,"2",G3110,"1830367250","57589034","+42.9254596","-072.2481828"
"35",44.65512,-71.3814,,"13620","13620","Berlin, NH","Berlin, NH Micro Area",M2,"2",G3110,"4647923684","92553609","+44.6525477","-071.2894309"
"36",43.17612,-72.3219,,"30100","30100","Lebanon, NH-VT","Lebanon, NH-VT Micro Area",M2,"2",G3110,"10108078296","175621707","+43.7857256","-072.1591415"
"37",43.70373,-72.1186,,"30100","30100","Lebanon, NH-VT","Lebanon, NH-VT Micro Area",M2,"2",G3110,"10108078296","175621707","+43.7857256","-072.1591415"
"38",43.55193,-71.0988,,,,,,,,,,,,
"39",43.23459,-70.7468,"438","38860","38860","Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,"1",G3110,"5389744438","2010373968","+43.6514172","-070.4183755"
"40",43.77646,-70.5972,"438","38860","38860","Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,"1",G3110,"5389744438","2010373968","+43.6514172","-070.4183755"
"41",43.68206,-70.2745,"438","38860","38860","Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,"1",G3110,"5389744438","2010373968","+43.6514172","-070.4183755"
"42",44.4418,-70.5376,,,,,,,,,,,,
"43",44.30352,-69.7433,,"12300","12300","Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,"2",G3110,"2246734973","216795650","+44.4170119","-069.7657639"
"44",45.31326,-68.7558,,"12620","12620","Bangor, ME","Bangor, ME Metro Area",M1,"1",G3110,"8798699751","413983068","+45.4092843","-068.6666160"
"45",43.99742,-69.5685,,,,,,,,,,,,
"46",44.7184,-67.8664,,,,,,,,,,,,
"47",46.60946,-68.3587,,,,,,,,,,,,
"48",44.18656,-69.1322,,,,,,,,,,,,
"49",44.97063,-69.9099,,,,,,,,,,,,
"50",43.86074,-72.4253,,"30100","30100","Lebanon, NH-VT","Lebanon, NH-VT Micro Area",M2,"2",G3110,"10108078296","175621707","+43.7857256","-072.1591415"
