CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
"122","12020","12020","Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,"1",G3110,"2654601832","26140309","+33.9439840","-083.2138965"
"122","12060","12060","Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,"1",G3110,"22494938651","387716575","+33.6937280","-084.3999113"
"428","12100","12100","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,"1",G3110,"1438776649","301268696","+39.4693555","-074.6337591"
"426","12120","12120","Atmore, AL","Atmore, AL Micro Area",M2,"2",G3110,"2448115116","20504948","+31.1222867","-087.1684097"
"258","12140","12140","Auburn, IN","Auburn, IN Micro Area",M2,"2",G3110,"939731962","2657419","+41.4011894","-085.0001854"
"532","12180","12180","Auburn, NY","Auburn, NY Micro Area",M2,"2",G3110,"1791190510","445708165","+43.0085456","-076.5745866"
"194","12220","12220","Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",M1,"1",G3110,"1573514768","21526461","+32.6040644","-085.3530477"
,"12260","12260","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,"1",G3110,"9015028913","262514053","+33.4603713","-081.9828327"
,"12300","12300","Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,"2",G3110,"2246734973","216795650","+44.4170119","-069.7657639"
"462","12380","12380","Austin, MN","Austin, MN Micro Area",M2,"2",G3110,"1842332264","617235","+43.6662486","-092.7595136"
,"12420","12420","Austin-Round Rock-Georgetown, TX","Austin-Round Rock-Georgetown, TX Metro Area",M1,"1",G3110,"10935038512","150326847","+30.2395128","-097.6912697"
,"12460","12460","Bainbridge, GA","Bainbridge, GA Micro Area",M2,"2",G3110,"1546667779","67329698","+30.8806431","-084.5838902"
,"12540","12540","Bakersfield, CA","Bakersfield, CA Metro Area",M1,"1",G3110,"21062540828","78680980","+35.3466288","-118.7295064"
"548","12580","12580","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",M1,"1",G3110,"6737876069","1304109791","+39.3043610","-076.5495009"
,"12620","12620","Bangor, ME","Bangor, ME Metro Area",M1,"1",G3110,"8798699751","413983068","+45.4092843","-068.6666160"
"357","12660","12660","Baraboo, WI","Baraboo, WI Micro Area",M2,"2",G3110,"2153685971","45692999","+43.4280010","-089.9433184"
"350","12680","12680","Bardstown, KY","Bardstown, KY Micro Area",M2,"2",G3110,"1081366442","16985926","+37.8031198","-085.4659312"
"148","12700","12700","Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,"1",G3110,"1021019039","2360316945","+41.7990145","-070.2118803"
"162","12740","12740","Barre, VT","Barre, VT Micro Area",M2,"2",G3110,"1779432159","21173948","+44.2749884","-072.6095138"
"538","12780","12780","Bartlesville, OK","Bartlesville, OK Micro Area",M2,"2",G3110,"1076201559","22871164","+36.7043803","-095.9061545"
"464","12860","12860","Batavia, NY","Batavia, NY Micro Area",M2,"2",G3110,"1276705469","6137411","+43.0009096","-078.1927784"
,"12900","12900","Batesville, AR","Batesville, AR Micro Area",M2,"2",G3110,"3544216484","24794979","+35.9277272","-091.5154036"
,"12940","12940","Baton Rouge, LA","Baton Rouge, LA Metro Area",M1,"1",G3110,"11306909736","523320311","+30.5187808","-091.1255901"
"310","12980","12980","Battle Creek, MI","Battle Creek, MI Metro Area",M1,"1",G3110,"1829206358","31260656","+42.2429896","-085.0123853"
"474","13020","13020","Bay City, MI","Bay City, MI Metro Area",M1,"1",G3110,"1145399057","488149217","+43.6997112","-083.9787007"
"288","13060","13060","Bay City, TX","Bay City, TX Micro Area",M2,"2",G3110,"2830603629","1345784373","+28.7747601","-096.0015316"
"339","13100","13100","Beatrice, NE","Beatrice, NE Micro Area",M2,"2",G3110,"2205275202","22010739","+40.2552337","-096.6834528"
,"13140","13140","Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",M1,"1",G3110,"5440906517","748475098","+30.0759278","-094.2027049"
"376","13180","13180","Beaver Dam, WI","Beaver Dam, WI Micro Area",M2,"2",G3110,"2268044939","81336171","+43.4296276","-088.7019394"
,"13220","13220","Beckley, WV","Beckley, WV Metro Area",M1,"1",G3110,"3281438992","27775053","+37.9053245","-081.1644363"
"144","13260","13260","Bedford, IN","Bedford, IN Micro Area",M2,"2",G3110,"1163367162","7122899","+38.8398148","-086.4878198"
,"13300","13300","Beeville, TX","Beeville, TX Micro Area",M2,"2",G3110,"2279809490","246409","+28.4160769","-097.7425858"
"198","13340","13340","Bellefontaine, OH","Bellefontaine, OH Micro Area",M2,"2",G3110,"1187534495","21593254","+40.3875532","-083.7663430"
