iata,latitude,longitude,name
35620,26.1018281,-80.4787552,"New York-Newark-Jersey City, NY-NJ-PA"
12060,26.1018281,-80.4787552,"Atlanta-Sandy Springs-Alpharetta, GA"
47900,26.1018281,-80.4787552,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
19100,26.1018281,-80.4787552,"Dallas-Fort Worth-Arlington, TX"
16980,26.1018281,-80.4787552,"Chicago-Naperville-Elgin, IL-IN-WI"
31080,26.1018281,-80.4787552,"Los Angeles-Long Beach-Anaheim, CA"
16740,26.1018281,-80.4787552,"Charlotte-Concord-Gastonia, NC-SC"
26420,26.1018281,-80.4787552,"Houston-The Woodlands-Sugar Land, TX"
14460,26.1018281,-80.4787552,"Boston-Cambridge-Newton, MA-NH"
37980,26.1018281,-80.4787552,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19740,26.1018281,-80.4787552,"Denver-Aurora-Lakewood, CO"
12420,26.1018281,-80.4787552,"Austin-Round Rock-Georgetown, TX"
39580,26.1018281,-80.4787552,"Raleigh-Cary, NC"
34980,26.1018281,-80.4787552,"Nashville-Davidson--Murfreesboro--Franklin, TN"
29820,26.1018281,-80.4787552,"Las Vegas-Henderson-Paradise, NV"
20900,26.1018281,-80.4787552,"El Campo, TX"
41860,26.1018281,-80.4787552,"San Francisco-Oakland-Berkeley, CA"
11700,26.1018281,-80.4787552,"Asheville, NC"
26900,26.1018281,-80.4787552,"Indianapolis-Carmel-Anderson, IN"
31140,26.1018281,-80.4787552,"Louisville/Jefferson County, KY-IN"
42660,26.1018281,-80.4787552,"Seattle-Tacoma-Bellevue, WA"
19820,26.1018281,-80.4787552,"Detroit-Warren-Dearborn, MI"
38060,26.1018281,-80.4787552,"Phoenix-Mesa-Chandler, AZ"
39300,26.1018281,-80.4787552,"Providence-Warwick, RI-MA"
41700,26.1018281,-80.4787552,"San Antonio-New Braunfels, TX"
41740,26.1018281,-80.4787552,"San Diego-Chula Vista-Carlsbad, CA"
12580,26.1018281,-80.4787552,"Baltimore-Columbia-Towson, MD"
41980,26.1018281,-80.4787552,"San Juan-BayamÃƒÂ³n-Caguas, PR"
18140,26.1018281,-80.4787552,"Columbus, OH"
24860,26.1018281,-80.4787552,"Greenville-Anderson, SC"
28940,26.1018281,-80.4787552,"Knoxville, TN"
47260,26.1018281,-80.4787552,"Virginia Beach-Norfolk-Newport News, VA-NC"
16700,26.1018281,-80.4787552,"Charleston-North Charleston, SC"
31420,26.1018281,-80.4787552,"Macon-Bibb County, GA"
17460,26.1018281,-80.4787552,"Cleveland-Elyria, OH"
40060,26.1018281,-80.4787552,"Richmond, VA"
24660,26.1018281,-80.4787552,"Greensboro-High Point, NC"
33460,26.1018281,-80.4787552,"Minneapolis-St. Paul-Bloomington, MN-WI"
17820,26.1018281,-80.4787552,"Colorado Springs, CO"
14860,26.1018281,-80.4787552,"Bridgeport-Stamford-Norwalk, CT"
22180,26.1018281,-80.4787552,"Fayetteville, NC"
41180,26.1018281,-80.4787552,"St. Louis, MO-IL"
39100,26.1018281,-80.4787552,"Poughkeepsie-Newburgh-Middletown, NY"
25540,26.1018281,-80.4787552,"Hartford-East Hartford-Middletown, CT"
38900,26.1018281,-80.4787552,"Portland-Vancouver-Hillsboro, OR-WA"
12260,26.1018281,-80.4787552,"Augusta-Richmond County, GA-SC"
35300,26.1018281,-80.4787552,"New Haven-Milford, CT"
