iata,latitude,longitude,name
35620,40.77493,-73.873758,"New York-Newark-Jersey City, NY-NJ-PA"
12060,33.693728,-84.3999113,"Atlanta-Sandy Springs-Alpharetta, GA"
47900,38.7982054,-77.4868816,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
19100,32.8491708,-96.9704894,"Dallas-Fort Worth-Arlington, TX"
16980,41.8235214,-87.8282967,"Chicago-Naperville-Elgin, IL-IN-WI"
31080,34.1087033,-118.1827533,"Los Angeles-Long Beach-Anaheim, CA"
26420,29.7495926,-95.3536422,"Houston-The Woodlands-Sugar Land, TX"
14460,42.517606,-71.0219925,"Boston-Cambridge-Newton, MA-NH"
37980,39.8949576,-75.3119824,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
20900,29.2784805,-96.2296745,"El Campo, TX"
41860,37.7737185,-122.2744317,"San Francisco-Oakland-Berkeley, CA"
42660,47.4905993,-121.833996,"Seattle-Tacoma-Bellevue, WA"
38060,33.1857653,-112.0678624,"Phoenix-Mesa-Chandler, AZ"
33460,45.096664,-93.275361,"Minneapolis-St. Paul-Bloomington, MN-WI"
49740,32.7739424,-113.910905,"Yuma, AZ"
34580,48.4932917,-121.8157703,"Mount Vernon-Anacortes, WA"
43220,47.3541257,-123.1738498,"Shelton, WA"
33100,26.1018281,-80.4787552,"Miami-Fort Lauderdale-Pompano Beach, FL"
