origin,destination,count,count2,,,,,,
35620,33100,5011,5760,,,,,,
12060,33100,3159,2832,,,,,,
47900,33100,1448,1498,,,,,,
19100,33100,1112,1088,,,,,,
16980,33100,1339,1335,,,,,,
31080,33100,886,956,,,,,,
16740,33100,912,819,,,,,,
26420,33100,859,945,,,,,,
14460,33100,1104,1048,,,,,,
37980,33100,964,885,,,,,,
19740,33100,671,570,,,,,,
12420,33100,618,558,,,,,,
39580,33100,619,547,,,,,,
34980,33100,571,500,,,,,,
29820,33100,426,414,,,,,,
20900,33100,424,363,,,,,,
41860,33100,418,409,,,,,,
11700,33100,649,484,,,,,,
26900,33100,396,280,,,,,,
31140,33100,386,383,,,,,,
42660,33100,346,481,,,,,,
19820,33100,438,482,,,,,,
38060,33100,330,354,,,,,,
39300,33100,453,423,,,,,,
41700,33100,307,314,,,,,,
41740,33100,303,377,,,,,,
12580,33100,358,398,,,,,,
18140,33100,287,248,,,,,,
24860,33100,252,286,,,,,,
28940,33100,275,202,,,,,,
47260,33100,253,251,,,,,,
16700,33100,235,166,,,,,,
31420,33100,235,155,,,,,,
17460,33100,312,336,,,,,,
40060,33100,245,177,,,,,,
24660,33100,219,183,,,,,,
33460,33100,258,283,,,,,,
17820,33100,172,103,,,,,,
14860,33100,238,213,,,,,,
22180,33100,167,158,,,,,,
41180,33100,179,170,,,,,,
39100,33100,244,259,,,,,,
25540,33100,205,186,,,,,,
38900,33100,153,171,,,,,,
12260,33100,153,141,,,,,,
35300,33100,233,248,,,,,,
11460,33100,193,194,,,,,,
10500,33100,147,100,,,,,,
38300,33100,191,154,,,,,,
46660,33100,145,138,,,,,,
16860,33100,145,168,,,,,,
40140,33100,141,135,,,,,,
17140,33100,156,156,,,,,,
40380,33100,188,152,,,,,,
49740,33100,132,85,,,,,,
17900,33100,131,183,,,,,,
15380,33100,176,160,,,,,,
35380,33100,127,129,,,,,,
35900,33100,255,221,,,,,,
25720,33100,134,147,,,,,,
25420,33100,130,63,,,,,,
10900,33100,128,81,,,,,,
36420,33100,112,33,,,,,,
35100,33100,121,81,,,,,,
42340,33100,110,100,,,,,,
13820,33100,102,54,,,,,,
28140,33100,101,84,,,,,,
48900,33100,113,93,,,,,,
25980,33100,97,103,,,,,,
28660,33100,96,85,,,,,,
40900,33100,94,86,,,,,,
45060,33100,107,71,,,,,,
23620,33100,90,80,,,,,,
41940,33100,89,92,,,,,,
48180,33100,88,116,,,,,,
12700,33100,237,246,,,,,,
34580,33100,81,80,,,,,,
46140,33100,81,68,,,,,,
33660,33100,80,73,,,,,,
12100,33100,208,273,,,,,,
33340,33100,106,124,,,,,,
46060,33100,76,74,,,,,,
12020,33100,74,75,,,,,,
25940,33100,74,62,,,,,,
21340,33100,74,65,,,,,,
41540,33100,126,140,,,,,,
49340,33100,84,131,,,,,,
20500,33100,71,72,,,,,,
27740,33100,67,27,,,,,,
49180,33100,67,74,,,,,,
45940,33100,82,108,,,,,,
41620,33100,65,53,,,,,,
22420,33100,61,47,,,,,,
30460,33100,59,45,,,,,,
34740,33100,109,95,,,,,,
22220,33100,56,11,,,,,,
30780,33100,55,11,,,,,,
43900,33100,53,16,,,,,,
29540,33100,53,36,,,,,,
10740,33100,52,53,,,,,,
32580,33100,51,75,,,,,,
25060,33100,50,37,,,,,,
10580,33100,67,120,,,,,,
22660,33100,48,69,,,,,,
19430,33100,48,47,,,,,,
36540,33100,48,50,,,,,,
26620,33100,48,41,,,,,,
24340,33100,47,43,,,,,,
31700,33100,64,85,,,,,,
48580,33100,80,51,,,,,,
44140,33100,55,77,,,,,,
40220,33100,43,35,,,,,,
37940,33100,41,29,,,,,,
46520,33100,41,45,,,,,,
15620,33100,84,54,,,,,,
11220,33100,54,60,,,,,,
31540,33100,52,55,,,,,,
14500,33100,39,30,,,,,,
28020,33100,67,62,,,,,,
37120,33100,38,53,,,,,,
17980,33100,38,39,,,,,,
38860,33100,75,72,,,,,,
15540,33100,49,19,,,,,,
43220,33100,35,48,,,,,,
32820,33100,34,65,,,,,,
15140,33100,34,40,,,,,,
18100,33100,32,13,,,,,,
10420,33100,44,50,,,,,,
12940,33100,31,30,,,,,,
15680,33100,31,15,,,,,,
33700,33100,31,26,,,,,,
10140,33100,30,12,,,,,,
45860,33100,58,65,,,,,,
39740,33100,29,49,,,,,,
31340,33100,29,11,,,,,,
18260,33100,28,0,,,,,,
41500,33100,28,0,,,,,,
29180,33100,28,12,,,,,,
48140,33100,38,0,,,,,,
24020,33100,56,55,,,,,,
20700,33100,40,52,,,,,,
32780,33100,25,0,,,,,,
36300,33100,48,57,,,,,,
29620,33100,24,77,,,,,,
29940,33100,24,15,,,,,,
35980,33100,42,62,,,,,,
23780,33100,23,60,,,,,,
48620,33100,23,15,,,,,,
33860,33100,23,27,,,,,,
22840,33100,21,0,,,,,,
16820,33100,20,30,,,,,,
23060,33100,19,26,,,,,,
21580,33100,18,24,,,,,,
28740,33100,54,30,,,,,,
49660,33100,17,0,,,,,,
19700,33100,17,0,,,,,,
49620,33100,16,29,,,,,,
38340,33100,65,69,,,,,,
23380,33100,34,18,,,,,,
24580,33100,29,15,,,,,,
12620,33100,15,0,,,,,,
21060,33100,15,24,,,,,,
44060,33100,15,0,,,,,,
21020,33100,14,22,,,,,,
25500,33100,14,0,,,,,,
22020,33100,14,0,,,,,,
27300,33100,14,0,,,,,,
22900,33100,14,0,,,,,,
39820,33100,14,0,,,,,,
21780,33100,14,0,,,,,,
23420,33100,14,0,,,,,,
18500,33100,13,17,,,,,,
29980,33100,13,16,,,,,,
18580,33100,13,15,,,,,,
17780,33100,13,11,,,,,,
37100,33100,12,46,,,,,,
39900,33100,12,34,,,,,,
42460,33100,12,28,,,,,,
38500,33100,12,29,,,,,,
46540,33100,12,0,,,,,,
42540,33100,12,0,,,,,,
45780,33100,12,0,,,,,,
35940,33100,12,0,,,,,,
40420,33100,12,0,,,,,,
44180,33100,12,0,,,,,,
40700,33100,12,11,,,,,,
42020,33100,11,11,,,,,,
44300,33100,11,0,,,,,,
29060,33100,22,30,,,,,,
20660,33100,20,28,,,,,,
40860,33100,17,14,,,,,,
36460,33100,14,13,,,,,,
30100,33100,11,0,,,,,,
