soldPrice,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus
$1.44M,1438000,"5100 El Camino Real APT 303, Los Altos, CA 94022",5100 El Camino Real APT 303,Los Altos,CA,94022,3,2,1302,APARTMENT,RECENTLY_SOLD
$4.10M,4100000,"360 Fontainbleau Ter, Los Altos, CA 94022",360 Fontainbleau Ter,Los Altos,CA,94022,,,,CONDO,RECENTLY_SOLD
"$989,000 ",989000,"101 2nd St APT 5, Los Altos, CA 94022",101 2nd St APT 5,Los Altos,CA,94022,1,1,846,CONDO,RECENTLY_SOLD
$2.85M,2850000,"86 3rd St UNIT 304, Los Altos, CA 94022",86 3rd St UNIT 304,Los Altos,CA,94022,3,2,1570,CONDO,RECENTLY_SOLD
$2.80M,2803000,"32 Deep Well Ln, Los Altos, CA 94022",32 Deep Well Ln,Los Altos,CA,94022,2,2,2224,CONDO,RECENTLY_SOLD
$1.40M,1403000,"457 Tyndall St APT 2, Los Altos, CA 94022",457 Tyndall St APT 2,Los Altos,CA,94022,2,2,1212,CONDO,RECENTLY_SOLD
"$322,000 ",322000,"77 Cuesta Dr, Los Altos, CA 94022",77 Cuesta Dr,Los Altos,CA,94022,2,1.5,1200,CONDO,RECENTLY_SOLD
$1.55M,1548000,"50 W Edith Ave APT 3, Los Altos, CA 94022",50 W Edith Ave APT 3,Los Altos,CA,94022,2,2,1502,CONDO,RECENTLY_SOLD
$1.30M,1300000,"1 W Edith Ave APT A201, Los Altos, CA 94022",1 W Edith Ave APT A201,Los Altos,CA,94022,1,2,1048,CONDO,RECENTLY_SOLD
$1.40M,1400000,"5100 El Camino Real APT 207, Los Altos, CA 94022",5100 El Camino Real APT 207,Los Altos,CA,94022,2,2,1408,CONDO,RECENTLY_SOLD
$1.70M,1700000,"86 3rd St UNIT 202, Los Altos, CA 94022",86 3rd St UNIT 202,Los Altos,CA,94022,2,2,1114,CONDO,RECENTLY_SOLD
$1.23M,1230000,"73 3rd St APT 23, Los Altos, CA 94022",73 3rd St APT 23,Los Altos,CA,94022,2,2,1344,CONDO,RECENTLY_SOLD
$1.86M,1860000,"86 3rd St UNIT 306, Los Altos, CA 94022",86 3rd St UNIT 306,Los Altos,CA,94022,2,2,1162,CONDO,RECENTLY_SOLD
$1.12M,1120000,"656 N San Antonio Rd, Los Altos, CA 94022",656 N San Antonio Rd,Los Altos,CA,94022,2,2,1079,CONDO,RECENTLY_SOLD
"$865,000 ",865000,"26 4th St APT 4, Los Altos, CA 94022",26 4th St APT 4,Los Altos,CA,94022,1,1,832,CONDO,RECENTLY_SOLD
"$738,000 ",738000,"543 Tyndall St, Los Altos, CA 94022",543 Tyndall St,Los Altos,CA,94022,1,1,764,CONDO,RECENTLY_SOLD
$2.88M,2875000,"944 Aura Way, Los Altos, CA 94024",944 Aura Way,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
"$255,000 ",255000,"5002 Marcelli Cir, Los Altos, CA 94022",5002 Marcelli Cir,Los Altos,CA,94022,3,2.5,1565,CONDO,RECENTLY_SOLD
$1.26M,1258500,"226 W Edith Ave APT 12, Los Altos, CA 94022",226 W Edith Ave APT 12,Los Altos,CA,94022,2,2,1371,CONDO,RECENTLY_SOLD
