spaceId,spaceStatus,isStorefront,isInterior,isMobile,placeId,name,genericName.name,genericName.tagId,resolvedName,address,postcode,chain.name,chain.chainId,placeStatus,operatingBasis,entrances.main.lat,entrances.main.lon,entrances.main.entranceMethod,entrances.main.origin.type,entrances.main.origin.id,entrances.main.origin.name,entrances.main.floor,entrances.main.id,parent.states.placeId,parent.states.name,tags.tagId,tags.name,subcategories.tagId,subcategories.name,categories.tagId,categories.name,offerings.positive.tagId,offerings.positive.name,tagsPrimary.tagId,tagsPrimary.name,subcategoriesPrimary.tagId,subcategoriesPrimary.name,categoriesPrimary.tagId,categoriesPrimary.name,spaceCreationDate,placeCreationDate,verifiedTimes,verifiedTimesLast,modifiedDate,validityTime.start,validityTime.end,covidMandates.status,covidMandates.date,covidMandatesLast.status,covidMandatesLast.date,covidObserved.status,covidObserved.date,id,Name_2,id_2,width,n,distance,feature_x,feature_y,nearest_x,nearest_y
5ab6890e71ecb90004d0ce22,Occupied,false,true,false,5ab6894f71ecb90004d0ce82,Envy Nail Salon,,,Envy Nail Salon,308 East 149th Street,"10451",,,Operating,Year Round,40.8168296995997,-73.9212625523257,fixed,EXTERIOR,,,"2",5ab6890d71ecb90004d0ce1f,57d82d24e52f5900038854d0,Fanta Hair Braiding,5511be4237345d00030005e6,Nail Salon,5511be4237345d00030005e6,Nail Salon,59f0ae905f4db6000450b723,Body,,,5511be4237345d00030005e6,Nail Salon,5511be4237345d00030005e6,Nail Salon,59f0ae905f4db6000450b723,Body,2018-03-24T17:21:18Z,2018-03-24T17:22:22Z,"2018-03-24T17:22:21Z,2018-07-26T21:25:27Z,2018-07-26T21:26:06Z,2018-11-08T21:46:36Z,2019-03-08T20:05:20Z,2019-09-16T21:38:44Z",2019-09-16T21:38:44Z,2019-09-16T21:38:44Z,2018-03-24T17:22:22Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,"1",The Hub,"13762",8.9,"1",5.56310092949126e-05,-73.9212625523257,40.8168296995997,-73.9212486938542,40.8168835767931
5b5a3aa190dd490003401ae9,Occupied,true,false,false,5b5a3aea86fde600039f683d,10and2 Driving School,,,10and2 Driving School,316 E 149th St #13,"10451",,,Operating,Year Round,40.8167750763405,-73.9210851970861,fixed,EXTERIOR,,,"1",5b5a3aa186fde600039f67f3,57d82dc57776e200034a44e6,Tee-Roe's Driving School,59e0f880ef1d5f00047ce7c9,Driving School,5644b6f46e852800030004bb,Learning Centers & Studios,5a5cf15e051ced00043524c2,Groups,,,59e0f880ef1d5f00047ce7c9,Driving School,5644b6f46e852800030004bb,Learning Centers & Studios,5a5cf15e051ced00043524c2,Groups,2018-07-26T21:18:25Z,2018-07-26T21:19:37Z,"2018-07-26T21:19:36Z,2018-11-08T21:45:03Z,2019-03-08T20:08:15Z,2019-09-16T21:38:01Z",2019-09-16T21:38:01Z,2019-09-16T21:38:01Z,2018-07-26T21:19:37Z,,,,,,,,"1",The Hub,"13762",8.9,"1",6.4350523272472e-05,-73.9210851970861,40.8167750763405,-73.9210691664603,40.8168373981576
5b5a391590dd4900034019bd,Occupied,false,true,false,5b5a397690dd490003401a15,Patricia Taveras ,,,Patricia Taveras ,,,,,Operating,Year Round,40.816669585292,-73.9207744664769,fixed,EXTERIOR,,,"2",5b5a391490dd4900034019ba,57d82f29e52f590003885630,"Effort Realty, LLC. ",59c1871be41d550e7ccd7742,Lawyer Office,564607fd3a9d43000300040e,"Business, Commercial & Professional Services",5a5cf19d051ced00043524ea,Misc,,,59c1871be41d550e7ccd7742,Lawyer Office,564607fd3a9d43000300040e,"Business, Commercial & Professional Services",5a5cf19d051ced00043524ea,Misc,2018-07-26T21:11:49Z,2018-07-26T21:13:25Z,"2018-07-26T21:13:25Z,2018-11-08T21:43:03Z,2019-03-08T20:13:12Z,2019-09-16T21:37:03Z",2019-09-16T21:37:03Z,2019-09-16T21:37:03Z,2018-07-26T21:13:25Z,,,,,,,,"1",The Hub,"13762",8.9,"1",8.91084835932485e-05,-73.9207744664769,40.816669585292,-73.9207522682929,40.8167558845532
5b5a31be90dd490003400fed,Occupied,false,true,false,5b5a321790dd490003401095,Raymond Schwartzberg ,,,Raymond Schwartzberg ,,,,,Operating,Year Round,40.817189545922,-73.9212716640278,fixed,EXTERIOR,,,"2",5b5a31be90dd490003400fe9,57d82f3fe52f59000388563e,ATAX ,59c1871be41d550e7ccd7742,Lawyer Office,564607fd3a9d43000300040e,"Business, Commercial & Professional Services",5a5cf19d051ced00043524ea,Misc,,,59c1871be41d550e7ccd7742,Lawyer Office,564607fd3a9d43000300040e,"Business, Commercial & Professional Services",5a5cf19d051ced00043524ea,Misc,2018-07-26T20:40:30Z,2018-07-26T20:41:58Z,"2018-07-26T20:41:58Z,2018-11-08T19:03:36Z,2019-03-08T19:22:32Z,2019-03-08T19:22:41Z,2019-09-16T15:58:10Z",2019-09-16T15:58:10Z,2019-09-16T15:58:10Z,2018-07-26T20:41:58Z,,,,,,,,"1",The Hub,"14088",8.5,"1",6.20968331650192e-05,-73.9212716640278,40.817189545922,-73.9212870512054,40.8171293857071
5ab693c43dcc180004a091a8,Occupied,false,true,false,5ab6940671ecb90004d0e41e,Adorable Uniforms,,,Adorable Uniforms,321 East 149th Street,"10455",,,Operating,Year Round,40.8170543824109,-73.9207345737633,fixed,INTERIOR,59c1140d7b2a3677ef6e7aa4,Adorable Angels,"1",5ab693c43dcc180004a091a4,57d82fb76fd9a00003abef97,Adorable Angels,588790b95044530004156d0a,Uniform Store,56dd9db9f89aa300030006ed,Clothing Store,59ea28713a04ba000459f849,Fashion,,,588790b95044530004156d0a,Uniform Store,56dd9db9f89aa300030006ed,Clothing Store,59ea28713a04ba000459f849,Fashion,2018-03-24T18:07:00Z,2018-03-24T18:08:05Z,"2018-03-24T18:08:05Z,2018-07-26T20:44:24Z,2018-11-08T19:06:04Z,2019-03-08T19:24:02Z,2019-09-16T15:59:15Z",2019-09-16T15:59:15Z,2019-09-16T15:59:15Z,2018-03-24T18:08:05Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,"1",The Hub,"14088",8.5,"1",6.42360306875134e-05,-73.9207345737633,40.8170543824109,-73.9207504910196,40.8169921497138
59c1140d7b2a3677ef6e7bc8,Occupied,false,true,false,57d8318e7776e200034a4738,Tai Chi Spa & Massage,,,Tai Chi Spa & Massage,"342 East 149th Street, Suite #6","10451",,,Operating,Year Round,40.8165186791239,-73.9200540475445,fixed,EXTERIOR,,,"2",59c1140d7b2a3677ef6e7bc7,57d831576fd9a00003abf073,Bronx Ink Tattoo,55940a3921ab27000300004a,Massage Parlor,56dc73c2c55a626ccde58420,Massage & Relaxation,59f0ae905f4db6000450b723,Body,,,55940a3921ab27000300004a,Massage Parlor,56dc73c2c55a626ccde58420,Massage & Relaxation,59f0ae905f4db6000450b723,Body,2016-09-13T17:04:14Z,2016-09-13T17:04:14Z,"2016-09-13T17:04:13Z,2018-03-24T19:50:38Z,2018-03-24T19:51:25Z,2018-07-26T20:59:59Z,2018-11-08T21:38:58Z,2019-03-08T20:21:11Z,2019-03-08T20:21:17Z,2019-09-16T21:33:54Z",2019-09-16T21:33:54Z,2019-09-16T21:33:54Z,2016-09-13T17:04:14Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,"1",The Hub,"13762",8.9,"1",5.57906546404404e-05,-73.9200540475445,40.8165186791239,-73.920040149303,40.8165727109296
5ab6a15c71ecb90004d0f872,Occupied,false,true,false,5ab6a19f3dcc180004a0a670,Heaven Jewelry,,,Heaven Jewelry,,,,,Operating,Year Round,40.8163582622004,-73.9180611259059,fixed,INTERIOR,59c1140e7b2a3677ef6e7d6d,149 Wireless Center Inc.,"1",5ab6a15c71ecb90004d0f86f,57d835146fd9a00003abf236,149 Wireless Center Inc.,56254d5b0d55a700030013e7,Jewelry Store,56254d5b0d55a700030013e7,Jewelry Store,59ea28713a04ba000459f849,Fashion,,,56254d5b0d55a700030013e7,Jewelry Store,56254d5b0d55a700030013e7,Jewelry Store,59ea28713a04ba000459f849,Fashion,2018-03-24T19:05:00Z,2018-03-24T19:06:06Z,"2018-03-24T19:06:06Z,2018-07-28T21:21:52Z,2018-11-08T20:09:10Z,2019-03-08T20:22:09Z,2019-09-16T16:42:12Z",2019-09-16T16:42:12Z,2019-09-16T16:42:12Z,2018-03-24T19:06:06Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,"1",The Hub,"13842",12.3,"1",5.90277518726304e-05,-73.9180611259059,40.8163582622004,-73.9180758389347,40.8163010975061
5aa9831ca01a640004cdf241,Occupied,false,true,false,5aa98362a01a640004cdf2e9,Money Tax,,,Money Tax,3009 3rd Avenue,"10455",,,Operating,Year Round,40.8194038975375,-73.9138492513397,fixed,INTERIOR,59c1140e7b2a3677ef6e7f86,Cross Way Driving School,"1",5aa9831ca01a640004cdf23e,57d839166fd9a00003abf487,Cross Way Driving School,59c18723e41d550e7ccd7788,Tax Service Center,56dc73c2c55a626ccde5842a,Financial Services Center,59ea2934f86351000446c5ee,Services,,,59c18723e41d550e7ccd7788,Tax Service Center,56dc73c2c55a626ccde5842a,Financial Services Center,59ea2934f86351000446c5ee,Services,2018-03-14T20:16:28Z,2018-03-14T20:17:37Z,"2018-03-14T20:17:36Z,2018-07-20T16:04:54Z,2018-07-20T16:06:41Z,2018-11-08T20:53:56Z,2019-02-28T18:56:19Z,2019-09-16T18:25:13Z",2019-09-16T18:25:13Z,2019-09-16T18:25:13Z,2018-03-14T20:17:37Z,,No Mandate,2020-03-17T13:00:00Z,No Mandate,2020-03-17T13:00:00Z,,,"1",The Hub,"15921",13.5,"1",5.63230940437352e-05,-73.9138492513397,40.8194038975375,-73.9138062867188,40.8193674786925
5ab947c7bda7e2000410ee05,Occupied,false,true,false,5ab9481a5c23c90004799a5c,First Class Physical Therapy,,,First Class Physical Therapy,"432 East 149th Street, Suite B","10455",,,Operating,Year Round,40.8152741978969,-73.9162281192358,fixed,INTERIOR,59c1140e7b2a3677ef6e810c,Bronx Metro Health Care,"-1",5ab947c55c23c90004799950,57d83b08e52f590003885d1e,Bronx Metro Health Care,59e78b4e07a73b0004f3fdf5,Physical Therapy Center,563b74679f9b4000030007da,Healthcare,59ea290e3a04ba000459f8e3,Municipal,,,59e78b4e07a73b0004f3fdf5,Physical Therapy Center,563b74679f9b4000030007da,Healthcare,59ea290e3a04ba000459f8e3,Municipal,2018-03-26T19:19:35Z,2018-03-26T19:20:57Z,"2018-03-26T19:20:56Z,2018-07-28T18:58:46Z,2018-11-06T21:15:29Z,2019-02-25T17:27:58Z,2019-02-25T17:30:06Z,2019-09-16T20:07:55Z",2019-09-16T20:07:55Z,2019-09-16T20:07:55Z,2018-03-26T19:20:57Z,,,,,,,,"1",The Hub,"11413",14.7,"1",6.42626210130499e-05,-73.9162281192358,40.8152741978969,-73.9162026906744,40.8153332154597
5ab94826bda7e2000410ef61,Occupied,false,true,false,5ab94865bda7e2000410f02c,Foot Podiatry Doctor,,,Foot Podiatry Doctor,432 East 149th Street,"10455",,,Operating,Year Round,40.8152542738203,-73.9162424401366,fixed,INTERIOR,59c1140e7b2a3677ef6e810c,Bronx Metro Health Care,"1",5ab948255c23c90004799a87,57d83b08e52f590003885d1e,Bronx Metro Health Care,59f23895ac6e9300046d243d,Podiatrist Office,563b74679f9b4000030007da,Healthcare,59ea290e3a04ba000459f8e3,Municipal,,,59f23895ac6e9300046d243d,Podiatrist Office,563b74679f9b4000030007da,Healthcare,59ea290e3a04ba000459f8e3,Municipal,2018-03-26T19:21:10Z,2018-03-26T19:22:12Z,"2018-03-26T19:22:12Z,2018-07-28T18:58:52Z,2018-11-06T21:15:40Z,2019-02-25T17:29:13Z,2019-09-16T20:07:49Z",2019-09-16T20:07:49Z,2019-09-16T20:07:49Z,2018-03-26T19:22:12Z,,,,,,,,"1",The Hub,"11413",14.7,"1",8.82272574374102e-05,-73.9162424401366,40.8152542738203,-73.9162075288274,40.8153353000472
