id,long,lat,status,name,category,category2,essential_flag,chain_flag,corridor,sidewalk_width,histogram_column,image
1,-73.8839447,40.74837109,Occupied,Perfumania,Fashion,Fashion,Non-essential,FALSE,Jackson,10,#N/A,
2,-73.88394976,40.74839622,Occupied,Ponce De Leon,Misc,Misc,Non-essential,TRUE,Jackson,10,#N/A,
3,-73.88393501,40.74831371,Occupied,N. Brands 26,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
5,-73.88391603,40.74821829,Occupied,Discount Clothing Store,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
6,-73.88392824,40.74828813,Occupied,Emblem Health,Misc,Misc,Non-essential,TRUE,Jackson,10,#N/A,
7,-73.88390609,40.74816368,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Jackson,10,#N/A,
9,-73.88390161,40.74813039,Occupied,Jorge H. Robles,Misc,Misc,Non-essential,TRUE,Jackson,10,#N/A,
10,-73.88387508,40.74813335,Occupied,Teximport Express,Services,Services,Essential,TRUE,Jackson,10,#N/A,
11,-73.88388783,40.74805542,Occupied,McDonald's,Food,Food,Non-essential,FALSE,Jackson,10,1,
12,-73.88389699,40.74810752,Occupied,Brands & Co,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
13,-73.88386857,40.74794771,Occupied,Devisons Jewelers II,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
14,-73.88387414,40.74798927,Occupied,Shreehari Convenience Inc.,Markets/Pharmacies,Essentials,Essential,TRUE,Jackson,10,#N/A,
16,-73.88386207,40.74791307,Occupied,Devisons Jewelers,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
17,-73.88384446,40.74782323,Occupied,Top Gun,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
18,-73.88384983,40.74785625,Occupied,Mike's Jewelry,Fashion,Fashion,Non-essential,TRUE,Jackson,10,#N/A,
20,-73.8840747,40.74785304,Occupied,Duane Reade,Markets/Pharmacies,Essentials,Essential,FALSE,Jackson,20,#N/A,
21,-73.88410696,40.74801497,Occupied,Ponce De Leon Federal Bank,Services,Services,Essential,TRUE,Jackson,12,#N/A,
22,-73.88408644,40.74790888,Occupied,New York Language Centers,Groups,Groups,Non-essential,TRUE,Jackson,20,#N/A,
